येस	य े स |
लगला	ल ग ल ा |
उघबाक	उ घ ब ा क |
रहने	र ह न े |
अनाजक	अ न ा ज क |
बचबाक	ब च ब ा क |
खेतहि	ख े त ह ि |
रोध	र ो ध |
मोटगर	म ो ट ग र |
कूट	क ू ट |
पीबाक	प ी ब ा क |
पत्ति	प त ् त ि |
छैथ	छ ै थ |
घसकट्टा	घ स क ट ् ट ा |
दूहल	द ू ह ल |
इंग्लैंड	इ ं ग ् ल ै ं ड |
नवासी	न व ा स ी |
दूहबाक	द ू ह ब ा क |
बढ़ोतरी	ब ढ़ ो त र ी |
रास्ता	र ा स ् त ा |
अपनाबी	अ प न ा ब ी |
चुकाइब	च ु क ा इ ब |
हैतय	ह ै त य |
बाढ़	ब ा ढ़ |
सोना	स ो न ा |
अम्लीकरण	अ म ् ल ी क र ण |
भरोसा	भ र ो स ा |
प्रेरित	प ् र े र ि त |
पंपिंग	प ं प ि ं ग |
मध्यकाल	म ध ् य क ा ल |
प्रतिस्पर्धा	प ् र त ि स ् प र ् ध ा |
तखनो	त ख न ो |
बहिर्गमन	ब ह ि र ् ग म न |
करैके	क र ै क े |
जिलाक	ज ि ल ा क |
नारी	न ा र ी |
वर्टिकल	व र ् ट ि क ल |
प्रवाहक	प ् र व ा ह क |
अंजीर	अ ं ज ी र |
ताजा	त ा ज ा |
खायल	ख ा य ल |
बनेनाय	ब न े न ा य |
इंजीनियरिंग	इ ं ज ी न ि य र ि ं ग |
बायोसिस्टम	ब ा य ो स ि स ् ट म |
जानल	ज ा न ल |
प्रतिस्पर्धी	प ् र त ि स ् प र ् ध ी |
माहौल	म ा ह ौ ल |
पृथ्वीक	प ृ थ ् व ी क |
पीबै	प ी ब ै |
वित्तक	व ि त ् त क |
संबंध	स ं ब ं ध |
घटाबै	घ ट ा ब ै |
संचालन	स ं च ा ल न |
सिक्योरिटीज	स ि क ् य ो र ि ट ी ज |
दोमट	द ो म ट |
लसदार	ल स द ा र |
गाद	ग ा द |
चाक	च ा क |
एशियाई	ए श ि य ा ई |
पी.पी.आई	प ी . प ी . आ ई |
चिकित्साक	च ि क ि त ् स ा क |
दायरा	द ा य र ा |
पेशा	प े श ा |
आस्टियोपैथ	आ स ् ट ि य ो प ै थ |
फिजियोथेरेपिस्ट	फ ि ज ि य ो थ े र े प ि स ् ट |
डेलॉएट	ड े ल ॉ ए ट |
पी.डब्ल्यू.सी	प ी . ड ब ् ल ् य ू . स ी |
के.पी.एम.जी	क े . प ी . ए म . ज ी |
अर्न्स्ट	अ र ् न ् स ् ट |
यंग	य ं ग |
ऑडिटर्स	ऑ ड ि ट र ् स |
रोकै	र ो क ै |
दक्षताक	द क ् ष त ा क |
अवधारणा	अ व ध ा र ण ा |
पसंदीदा	प स ं द ी द ा |
तरहे	त र ह े |
जोरल	ज ो र ल |
ब्राँडकास्टिंग	ब ् र ा ँ ड क ा स ् ट ि ं ग |
उमरि	उ म र ि |
पैसठ	प ै स ठ |
कुटेलाक	क ु ट े ल ा क |
भात	भ ा त |
एला	ए ल ा |
गहिंकीकेँ	ग ह ि ं क ी क े ँ |
धुरफंदी	ध ु र फ ं द ी |
धुरफंदीक	ध ु र फ ं द ी क |
रहलै	र ह ल ै |
पैंसीक	प ै ं स ी क |
समान्य	स म ा न ् य |
रूपसँ	र ू प स ँ |
पियर	प ि य र |
औरा	औ र ा |
धातृ	ध ा त ृ |
टिकाउपन	ट ि क ा उ प न |
कारक	क ा र क |
शिक्षाक	श ि क ् ष ा क |
पाँच	प ा ँ च |
महीस	म ह ी स |
ताड़	त ा ड़ |
सार्वजानिक	स ा र ् व ज ा न ि क |
डॉउनलोड	ड ॉ उ न ल ो ड |
पर्ची	प र ् च ी |
अजवाइन	अ ज व ा इ न |
राति	र ा त ि |
चिबाके	च ि ब ा क े |
पीला	प ी ल ा |
भोरे	भ ो र े |
साफ	स ा फ |
मोलस्कसाइड्स	म ो ल स ् क स ा इ ड ् स |
घोंघा	घ ो ं घ ा |
उपयोगक	उ प य ो ग क |
मवेशी	म व े श ी |
सींग	स ी ं ग |
पीछू	प ी छ ू |
तरफ	त र फ |
मुड़ल	म ु ड़ ल |
किराना	क ि र ा न ा |
दोकान	द ो क ा न |
बेचै	ब े च ै |
कार्यबल	क ा र ् य ब ल |
नियोक्ता	न ि य ो क ् त ा |
तर	त र |
कन्द	क न ् द |
उपजाइल	उ प ज ा इ ल |
मनरेगा	म न र े ग ा |
भेटबाक	भ े ट ब ा क |
बीछय	ब ी छ य |
डराए	ड र ा ए |
रमुआक	र म ु आ क |
बन्द	ब न ् द |
अपडेट	अ प ड े ट |
करेलनि	क र े ल न ि |
मकइ	म क इ |
कार्बोहाइड्रेट	क ा र ् ब ो ह ा इ ड ् र े ट |
जालक	ज ा ल क |
मरुआ	म र ु आ |
सुखल	स ु ख ल |
अधहा	अ ध ह ा |
प्रतापपुर	प ् र त ा प प ु र |
व्यावहारिक	व ् य ा व ह ा र ि क |
पाकिस्तान	प ा क ि स ् त ा न |
ब्राजीलक	ब ् र ा ज ी ल क |
स्वागत	स ् व ा ग त |
कुसियारक	क ु स ि य ा र क |
चुट्टी	च ु ट ् ट ी |
जौ	ज ौ |
बाजरा	ब ा ज र ा |
बुनबाक	ब ु न ब ा क |
जँ	ज ँ |
एकदम	ए क द म |
बोगनबेलिया	ब ो ग न ब े ल ि य ा |
बराबरीक	ब र ा ब र ी क |
टका	ट क ा |
बर्तमान	ब र ् त म ा न |
हुअए	ह ु अ ए |
परै	प र ै |
जाफर	ज ा फ र |
मसल्ला	म स ल ् ल ा |
चनाक	च न ा क |
कैश	क ै श |
फ्लो	फ ् ल ो |
सूदिक	स ू द ि क |
लिक्विडिटी	ल ि क ् व ि ड ि ट ी |
चर्चा	च र ् च ा |
हैबिट	ह ै ब ि ट |
नैजिंड	न ै ज ि ं ड |
युनिवर्सिटी	य ु न ि व र ् स ि ट ी |
रिसर्च	र ि स र ् च |
रोचक	र ो च क |
देते	द े त े |
किनकर	क ि न क र |
भैस	भ ै स |
सीचाई	स ी च ा ई |
मोटर	म ो ट र |
बहुतेक	ब ह ु त े क |
पबैत	प ब ै त |
देहात	द े ह ा त |
बचाबय	ब च ा ब य |
परैत	प र ै त |
कटिकए	क ट ि क ए |
ऐलै	ऐ ल ै |
बरबाद	ब र ब ा द |
सतरहक	स त र ह क |
आगराक	आ ग र ा क |
बनैया	ब न ै य ा |
अट्ठारह	अ ट ् ठ ा र ह |
नब्बेमे	न ब ् ब े म े |
अमेरिकामे	अ म े र ि क ा म े |
जनानी	ज न ा न ी |
बदललै	ब द ल ल ै |
एम.आइ.आर.आर	ए म . आ इ . आ र . आ र |
बजटिंग	ब ज ट ि ं ग |
नापय	न ा प य |
मानें	म ा न े ं |
गीरबी	ग ी र ब ी |
राखे	र ा ख े |
परे	प र े |
जी	ज ी |
मिरचाई	म ि र च ा ई |
उगबे	उ ग ब े |
सहि	स ह ि |
जाएत	ज ा ए त |
ऐहन	ऐ ह न |
अप्लीकेसन	अ प ् ल ी क े स न |
जै	ज ै |
सै	स ै |
सकी	स क ी |
उतारे	उ त ा र े |
कतैक	क त ै क |
मजदूरी	म ज द ू र ी |
लाग	ल ा ग |
खुलाबक	ख ु ल ा ब क |
लागतै	ल ा ग त ै |
निकाल	न ि क ा ल |
यांत्रिक	य ा ं त ् र ि क |
किनका	क ि न क ा |
तैयारी	त ै य ा र ी |
भेजबे	भ े ज ब े |
कस्तूरबा	क स ् त ू र ब ा |
बालिका	ब ा ल ि क ा |
बेटीक	ब े ट ी क |
लिखेलहुँ	ल ि ख े ल ह ु ँ |
जंगल	ज ं ग ल |
कटबाक	क ट ब ा क |
आबय	आ ब य |
रिस्क	र ि स ् क |
बचइ	ब च इ |
ब्लूबेरी	ब ् ल ू ब े र ी |
जलखै	ज ल ख ै |
खाए	ख ा ए |
जैम	ज ै म |
जरुरत	ज र ु र त |
उपजाबै	उ प ज ा ब ै |
जोतय	ज ो त य |
बरद	ब र द |
डिपाजिट	ड ि प ा ज ि ट |
टिकाऊ	ट ि क ा ऊ |
दिल	द ि ल |
युरेसिया	य ु र े स ि य ा |
सबतरि	स ब त र ि |
प्रकृति	प ् र क ृ त ि |
असील	अ स ी ल |
कड़कनाथ	क ड़ क न ा थ |
बुसरा	ब ु स र ा |
चित्तगाँग	च ि त ् त ग ा ँ ग |
चारिटा	च ा र ि ट ा |
नसल	न स ल |
छीटबाक	छ ी ट ब ा क |
टाँप	ट ा ँ प |
ड्रेसिंग	ड ् र े स ि ं ग |
प्लेसमेंट	प ् ल े स म े ं ट |
हजारक	ह ज ा र क |
अन्तर्राष्ट्रीय	अ न ् त र ् र ा ष ् ट ् र ी य |
कोषक	क ो ष क |
उन्नीस	उ न ् न ी स |
चौआलीस	च ौ आ ल ी स |
खाते	ख ा त े |
जीविका	ज ी व ि क ा |
आजीविकाक	आ ज ी व ि क ा क |
फन्डिंग	फ न ् ड ि ं ग |
भत्ता	भ त ् त ा |
पेमेंट	प े म े ं ट |
बौआ	ब ौ आ |
सीन	स ी न |
बेलेजली	ब े ल े ज ल ी |
मिलर	म ि ल र |
सीशाक	स ी श ा क |
उगेबाक	उ ग े ब ा क |
बायोसेल्टर	ब ा य ो स े ल ् ट र |
जोन	ज ो न |
हरक	ह र क |
कोरि	क ो र ि |
जोग	ज ो ग |
चिकना	च ि क न ा |
चिकनाक	च ि क न ा क |
प्लांटर	प ् ल ा ं ट र |
रोपणाय	र ो प ण ा य |
बेटा	ब े ट ा |
चमेलीक	च म े ल ी क |
आनलकै	आ न ल क ै |
मारय	म ा र य |
दबाइक	द ब ा इ क |
नाओ	न ा ओ |
कहू	क ह ू |
कर्जसँ	क र ् ज स ँ |
डुबल	ड ु ब ल |
नियंत्रणमे	न ि य ं त ् र ण म े |
डुबय	ड ु ब य |
बचाएल	ब च ा ए ल |
बीघा	ब ी घ ा |
कुनटल	क ु न ट ल |
डालबै	ड ा ल ब ै |
खोलेबाक	ख ो ल े ब ा क |
माप	म ा प |
तोल	त ो ल |
हेतइ	ह े त इ |
खटाल	ख ट ा ल |
खोलय	ख ो ल य |
चितिंत	च ि त ि ं त |
जो	ज ो |
जेतौ	ज े त ौ |
एबसोल्युट	ए ब स ो ल ् य ु ट |
बृद्धि	ब ृ द ् ध ि |
कटौतीक	क ट ौ त ी क |
मिलई	म ि ल ई |
बजरा	ब ज र ा |
बाउग	ब ा उ ग |
जुलाई	ज ु ल ा ई |
अगस्त	अ ग स ् त |
बेकती	ब े क त ी |
बचतक	ब च त क |
बेतन	ब े त न |
भीतरी	भ ी त र ी |
सोलवेंसी	स ो ल व े ं स ी |
बताबैत	ब त ा ब ै त |
पैरासाइट	प ै र ा स ा इ ट |
ट्रांसफर	ट ् र ा ं स फ र |
हैबिटेट	ह ै ब ि ट े ट |
मोडीफिकेशन	म ो ड ी फ ि क े श न |
प्रभाब	प ् र भ ा ब |
शहतूतक	श ह त ू त क |
अलावा	अ ल ा व ा |
तसर	त स र |
पालल	प ा ल ल |
नहिके	न ह ि क े |
बराबर	ब र ा ब र |
देला	द े ल ा |
तारक	त ा र क |
व्यवसायी	व ् य व स ा य ी |
संचित	स ं च ि त |
ओकरो	ओ क र ो |
केसर	क े स र |
एंटीआक्सिडेंट	ए ं ट ी आ क ् स ि ड े ं ट |
बर्धक	ब र ् ध क |
चिन्हे	च ि न ् ह े |
झाड़	झ ा ड़ |
देखबाक	द े ख ब ा क |
चाहीं	च ा ह ी ं |
इलाईंची	इ ल ा ई ं च ी |
एलेटेरिया	ए ल े ट े र ि य ा |
कार्डामोमम	क ा र ् ड ा म ो म म |
औषधीक	औ ष ध ी क |
कोनियाँ	क ो न ि य ा ँ |
ओन	ओ न |
हबा	ह ब ा |
गिराएल	ग ि र ा ए ल |
खाताक	ख ा त ा क |
केयर	क े य र |
माँगत	म ा ँ ग त |
पिन	प ि न |
पाथर	प ा थ र |
रुइया	र ु इ य ा |
खनिज	ख न ि ज |
एस.एम.एस	ए स . ए म . ए स |
मेसैज	म े स ै ज |
बन्न	ब न ् न |
एलौ	ए ल ौ |
लंग	ल ं ग |
बिरंग	ब ि र ं ग |
पिलान	प ि ल ा न |
तोरा	त ो र ा |
हरका	ह र क ा |
पन्नी	प न ् न ी |
वर्णनात्मक	व र ् ण न ा त ् म क |
नामपत्र	न ा म प त ् र |
पाछू	प ा छ ू |
बान्हि	ब ा न ् ह ि |
जोतलाहा	ज ो त ल ा ह ा |
बजटक	ब ज ट क |
सेना	स े न ा |
शस्त्र	श स ् त ् र |
रोपण	र ो प ण |
निगमित	न ि ग म ि त |
बतौलक	ब त ौ ल क |
टर्कीक	ट र ् क ी क |
अचिपयाम	अ च ि प य ा म |
इथोपियाक	इ थ ो प ि य ा क |
अदलक	अ द ल क |
पूर्वानुमानक	प ू र ् व ा न ु म ा न क |
भंडारणक	भ ं ड ा र ण क |
आभाव	आ भ ा व |
औने	औ न े |
पौने	प ौ न े |
मियादी	म ि य ा द ी |
योजनामे	य ो ज न ा म े |
सेटलमेंट	स े ट ल म े ं ट |
निपटान	न ि प ट ा न |
विकल्पक	व ि क ल ् प क |
भेजब	भ े ज ब |
ज्ञात	ज ् ञ ा त |
सिरोही	स ि र ो ह ी |
मेहसाना	म े ह स ा न ा |
पनिगर	प न ि ग र |
बराबरि	ब र ा ब र ि |
हरा	ह र ा |
ब्लॉक	ब ् ल ॉ क |
विश्लेषक	व ि श ् ल े ष क |
बीमाकम्पनी	ब ी म ा क म ् प न ी |
वेवसाय	व े व स ा य |
बजारभाव	ब ज ा र भ ा व |
देनाय	द े न ा य |
डोजर	ड ो ज र |
उखाड़े	उ ख ा ड़ े |
मेमना	म े म न ा |
माथा	म ा थ ा |
एंटीना	ए ं ट ी न ा |
अंक	अ ं क |
मैंडीबल	म ै ं ड ी ब ल |
छोटा	छ ो ट ा |
दिमाग	द ि म ा ग |
भागलपुर	भ ा ग ल प ु र |
हेकरो	ह े क र ो |
आसपास	आ स प ा स |
नाय	न ा य |
बजारो	ब ज ा र ो |
लिफ्ट	ल ि फ ् ट |
झारखंड	झ ा र ख ं ड |
गहकी	ग ह क ी |
मांगलो	म ा ं ग ल ो |
सावधानीपूर्वक	स ा व ध ा न ी प ू र ् व क |
निष्पक्ष	न ि ष ् प क ् ष |
संकटक	स ं क ट क |
मुंगरी	म ु ं ग र ी |
इंधन	इ ं ध न |
अमर	अ म र |
जराओल	ज र ा ओ ल |
संगठनक	स ं ग ठ न क |
रूचिक	र ू च ि क |
बढ़ला	ब ढ़ ल ा |
उपभोगता	उ प भ ो ग त ा |
लक्षण	ल क ् ष ण |
कुशल	क ु श ल |
चिकित्सकक	च ि क ि त ् स क क |
करयबाक	क र य ब ा क |
समयपर	स म य प र |
दाब	द ा ब |
क्षेत्रफल	क ् ष े त ् र फ ल |
चलायब	च ल ा य ब |
उठौलक	उ ठ ौ ल क |
पारिस्थितिक	प ा र ि स ् थ ि त ि क |
पहुँचयबाक	प ह ु ँ च य ब ा क |
अपतटीय	अ प त ट ी य |
संगणकीय	स ं ग ण क ी य |
इंडियन	इ ं ड ि य न |
दुरूपयोग	द ु र ू प य ो ग |
जाँच	ज ा ँ च |
अधिकता	अ ध ि क त ा |
लगौलक	ल ग ौ ल क |
लेनाई	ल े न ा ई |
अवैध	अ व ै ध |
बच्चाक	ब च ् च ा क |
वजन	व ज न |
पाउण्ड	प ा उ ण ् ड |
सूत्रक	स ू त ् र क |
जहाज	ज ह ा ज |
आयत	आ य त |
निर्यात	न ि र ् य ा त |
फोन	फ ो न |
ड्यु	ड ् य ु |
डेट	ड े ट |
केरल	क े र ल |
लौंग	ल ौ ं ग |
लगाबइ	ल ग ा ब इ |
मिले	म ि ल े |
आस	आ स |
रहइ	र ह इ |
आनय	आ न य |
गहुँम	ग ह ु ँ म |
ओनक	ओ न क |
बाप	ब ा प |
पैंच	प ै ं च |
मांगय	म ा ं ग य |
तोरो	त ो र ो |
छियौ	छ ि य ौ |
सत्यापन	स त ् य ा प न |
रिकॉर्ड	र ि क ॉ र ् ड |
पटाइ	प ट ा इ |
कंट्रोल	क ं ट ् र ो ल |
सूक्ष्म	स ू क ् ष ् म |
क्षेत्रफलक	क ् ष े त ् र फ ल क |
कहि	क ह ि |
बालकगण	ब ा ल क ग ण |
असंभव	अ स ं भ व |
बुझना	ब ु झ न ा |
पुमंग	प ु म ं ग |
पुंकेशरक	प ु ं क े श र क |
अहम	अ ह म |
माइटक	म ा इ ट क |
बरसात	ब र स ा त |
पड़ना	प ड़ न ा |
सूदो	स ू द ो |
ग्राहको	ग ् र ा ह क ो |
गोपनीयता	ग ो प न ी य त ा |
नब्बे	न ब ् ब े |
ग्राम	ग ् र ा म |
लीच	ल ी च |
ब्लीली	ब ् ल ी ल ी |
ही	ह ी |
सेबाएँ	स े ब ा ए ँ |
शब्द	श ब ् द |
मालिको	म ा ल ि क ो |
केत्ते	क े त ् त े |
चलैलो	च ल ै ल ो |
मोलस्क	म ो ल स ् क |
अकेशेरुकीय	अ क े श े र ु क ी य |
निकालै	न ि क ा ल ै |
बुनियादी	ब ु न ि य ा द ी |
चाकू	च ा क ू |
कंटेनर	क ं ट े न र |
इकट्ठा	इ क ट ् ठ ा |
दिये	द ि य े |
गुड़हल	ग ु ड़ ह ल |
तॅ	त ॅ |
प्रयोगशाला	प ् र य ो ग श ा ल ा |
मुरय	म ु र य |
हल्का	ह ल ् क ा |
पटाएल	प ट ा ए ल |
काउंसलिंग	क ा उ ं स ल ि ं ग |
सलाह	स ल ा ह |
स्टेट्युटरी	स ् ट े ट ् य ु ट र ी |
आडिटर	आ ड ि ट र |
बतेनाइ	ब त े न ा इ |
कखनहुँ	क ख न ह ु ँ |
एसिडिक	ए स ि ड ि क |
क्षारीय	क ् ष ा र ी य |
बुचियाक	ब ु च ि य ा क |
इसकुलमे	इ स क ु ल म े |
जानवरक	ज ा न व र क |
सूची	स ू च ी |
बनेबा	ब न े ब ा |
कहलथि	क ह ल थ ि |
मीठका	म ी ठ क ा |
धब्बा	ध ब ् ब ा |
काँमन	क ा ँ म न |
बेमारी	ब े म ा र ी |
पीएम	प ी ए म |
नेटवर्किंग	न े ट व र ् क ि ं ग |
ओतेक	ओ त े क |
उत्साहित	उ त ् स ा ह ि त |
पोसबा	प ो स ब ा |
मोटाइक	म ो ट ा इ क |
बोर्ड	ब ो र ् ड |
पायक	प ा य क |
देखरेख	द े ख र े ख |
पढ़ाई	प ढ़ ा ई |
लिखाई	ल ि ख ा ई |
करभी	क र भ ी |
बनभी	ब न भ ी |
कारोबारी	क ा र ो ब ा र ी |
चलतौ	च ल त ौ |
हरदम	ह र द म |
परेशानी	प र े श ा न ी |
बनले	ब न ल े |
सरुक	स र ु क |
डारि	ड ा र ि |
बिखाह	ब ि ख ा ह |
झुँड	झ ु ँ ड |
बेटनरी	ब े ट न र ी |
डाक्टर	ड ा क ् ट र |
संपर्क	स ं प र ् क |
करु	क र ु |
पर्सनल	प र ् स न ल |
कौड़ी	क ौ ड़ ी |
मैनेजमेंट	म ै न े ज म े ं ट |
ऑपरेशनल	ऑ प र े श न ल |
चलाबइ	च ल ा ब इ |
बिहार	ब ि ह ा र |
लेबा	ल े ब ा |
चीजकेँ	च ी ज क े ँ |
बन्हकी	ब न ् ह क ी |
राखय	र ा ख य |
परय	प र य |
मानसुनक	म ा न स ु न क |
जुन	ज ु न |
अक्टूबर	अ क ् ट ू ब र |
एग्रो	ए ग ् र ो |
फिजीक्स	फ ि ज ी क ् स |
बिज्ञानक	ब ि ज ् ञ ा न क |
डाढ़ि	ड ा ढ़ ि |
परिबेश	प र ि ब े श |
अनुभबी	अ न ु भ ब ी |
स्कोर	स ् क ो र |
इंडिया	इ ं ड ि य ा |
पसीबा	प स ी ब ा |
मौधक	म ौ ध क |
छत्तासँ	छ त ् त ा स ँ |
मौध	म ौ ध |
पोसक	प ो स क |
मिलेबाक	म ि ल े ब ा क |
हैय	ह ै य |
दिय	द ि य |
मिलेनियल	म ि ल े न ि य ल |
एंटरप्रेन्योरशिप	ए ं ट र प ् र े न ् य ो र श ि प |
पापड़	प ा प ड़ |
बेलय	ब े ल य |
कपासक	क प ा स क |
बीछल	ब ी छ ल |
नारियर	न ा र ि य र |
उपजाबइ	उ प ज ा ब इ |
कार्यालय	क ा र ् य ा ल य |
जेनेवा	ज े न े व ा |
हिमाचल	ह ि म ा च ल |
जम्मू	ज म ् म ू |
कश्मीर	क श ् म ी र |
एपरीकोट	ए प र ी क ो ट |
अगुआएल	अ ग ु आ ए ल |
जुड़ल	ज ु ड़ ल |
आई.डी	आ ई . ड ी |
मंगा	म ं ग ा |
बिंदु	ब ि ं द ु |
लतामक	ल त ा म क |
रामू	र ा म ू |
भाइ	भ ा इ |
कोइ	क ो इ |
हुंडीक	ह ु ं ड ी क |
मार्फत	म ा र ् फ त |
पकड़ल	प क ड़ ल |
नाबार्ड	न ा ब ा र ् ड |
दियाबै	द ि य ा ब ै |
तिरेपन	त ि र े प न |
फूड	फ ू ड |
पार्क	प ा र ् क |
अधुसूचित	अ ध ु स ू च ि त |
ऑक्सीडेंट	ऑ क ् स ी ड े ं ट |
एफ.डी	ए फ . ड ी |
चाहे	च ा ह े |
दैय	द ै य |
केराव	क े र ा व |
महिना	म ह ि न ा |
बुनय	ब ु न य |
होत	ह ो त |
माटी	म ा ट ी |
फब्बारा	फ ब ् ब ा र ा |
कोनसब	क ो न स ब |
उगाबै	उ ग ा ब ै |
कोल्ड	क ो ल ् ड |
स्टोर	स ् ट ो र |
रखि	र ख ि |
रहते	र ह त े |
फव्वारा	फ व ् व ा र ा |
मखान	म ख ा न |
बाजारोपयोगी	ब ा ज ा र ो प य ो ग ी |
शेस	श े स |
जानबे	ज ा न ब े |
बैल	ब ै ल |
बकरीपालन	ब क र ी प ा ल न |
बत्तखपालन	ब त ् त ख प ा ल न |
मछलीपालन	म छ ल ी प ा ल न |
जुरल	ज ु र ल |
झुलसा	झ ु ल स ा |
दबाय	द ब ा य |
रसायनिक	र स ा य न ि क |
बहुवार्षिक	ब ह ु व ा र ् ष ि क |
दोबारा	द ो ब ा र ा |
कार्बनिक	क ा र ् ब न ि क |
पीसल	प ी स ल |
कीड़ाक	क ी ड़ ा क |
उन्मूलन	उ न ् म ू ल न |
विपणन	व ि प ण न |
तीनू	त ी न ू |
संतुष्ट	स ं त ु ष ् ट |
पेपाल	प े प ा ल |
संस्थापकक	स ं स ् थ ा प क क |
कराके	क र ा क े |
बी.टी	ब ी . ट ी |
बैगन	ब ै ग न |
जेनेटिक	ज े न े ट ि क |
रोटेटरक	र ो ट े ट र क |
दुनूक	द ु न ू क |
रेकरिंग	र े क र ि ं ग |
महिनाक	म ह ि न ा क |
तनखा	त न ख ा |
भरय	भ र य |
लागि	ल ा ग ि |
वर्किंग	व र ् क ि ं ग |
मारफत	म ा र फ त |
निम्मन	न ि म ् म न |
चलाएल	च ल ा ए ल |
फीस	फ ी स |
गिनय	ग ि न य |
पैंतीस	प ै ं त ी स |
ए.पी.आर	ए . प ी . आ र |
मेहका	म े ह क ा |
चुरा	च ु र ा |
खाताधारक	ख ा त ा ध ा र क |
भैर	भ ै र |
चावल	च ा व ल |
संबोधन	स ं ब ो ध न |
भण्डार	भ ण ् ड ा र |
घोषणा	घ ो ष ण ा |
प्रोविडेंट	प ् र ो व ि ड े ं ट |
बाकी	ब ा क ी |
राज्यो	र ा ज ् य ो |
जादे	ज ा द े |
खतम	ख त म |
राखलो	र ा ख ल ो |
मकान	म क ा न |
आपात	आ प ा त |
फूलो	फ ू ल ो |
नियमो	न ि य म ो |
संसोधन	स ं स ो ध न |
सलाद	स ल ा द |
रूपो	र ू प ो |
खयलो	ख य ल ो |
स्काउट	स ् क ा उ ट |
जानलो	ज ा न ल ो |
चिया	च ि य ा |
पूर्वज	प ू र ् व ज |
स्तनपायी	स ् त न प ा य ी |
जायल	ज ा य ल |
तरक्की	त र क ् क ी |
देखैलै	द े ख ै ल ै |
छेत्र	छ े त ् र |
लीवरेज	ल ी व र े ज |
भौतिकी	भ ौ त ि क ी |
लिवर	ल ि व र |
असरो	अ स र ो |
प्रस्तुत	प ् र स ् त ु त |
कवरेज	क व र े ज |
शास्त्र	श ा स ् त ् र |
सम्भाली	स म ् भ ा ल ी |
पुर्वानुमान	प ु र ् व ा न ु म ा न |
वास्ते	व ा स ् त े |
तथ्य	त थ ् य |
दरकार	द र क ा र |
किटो	क ि ट ो |
व्यबस्था	व ् य ब स ् थ ा |
न्याय	न ् य ा य |
क्षेत्रो	क ् ष े त ् र ो |
सर्टिफिकेट	स र ् ट ि फ ि क े ट |
र	र |
मग	म ग |
तलाब	त ल ा ब |
झील	झ ी ल |
जलासय	ज ल ा स य |
समुन्द	स म ु न ् द |
चेको	च े क ो |
दानो	द ा न ो |
क्वालिटी	क ् व ा ल ि ट ी |
मानलो	म ा न ल ो |
गरार	ग र ा र |
घुन	घ ु न |
भेम	भ े म |
क्रचिंग	क ् र च ि ं ग |
आव्श्यकतानुसार	आ व ् श ् य क त ा न ु स ा र |
कतेको	क त े क ो |
केनरा	क े न र ा |
भ्रष्टाचारक	भ ् र ष ् ट ा च ा र क |
आरोप	आ र ो प |
अधिकार	अ ध ि क ा र |
नियमानुसार	न ि य म ा न ु स ा र |
प्रबंध	प ् र ब ं ध |
वर्षावन	व र ् ष ा व न |
कच्चा	क च ् च ा |
भूल	भ ू ल |
बनाब	ब न ा ब |
लैल	ल ै ल |
देर	द े र |
लगैला	ल ग ै ल ा |
बांंस	ब ा ं ं स |
निगमो	न ि ग म ो |
शेयरो	श े य र ो |
बताबै	ब त ा ब ै |
लोगें	ल ो ग े ं |
नजायज	न ज ा य ज |
आनुवंशिक	आ न ु व ं श ि क |
करायल	क र ा य ल |
सुग्गर	स ु ग ् ग र |
कट्टू	क ट ् ट ू |
फंगसक	फ ं ग स क |
अट्ठारम	अ ट ् ठ ा र म |
सदी	स द ी |
स्पिन्निंग	स ् प ि न ् न ि ं ग |
म्यूल	म ् य ू ल |
अन्तर्गत	अ न ् त र ् ग त |
झींगा	झ ी ं ग ा |
सोलह	स ो ल ह |
ईस्वी	ई स ् व ी |
एकबीजपत्री	ए क ब ी ज प त ् र ी |
चैनल	च ै न ल |
मार्केटिंग	म ा र ् क े ट ि ं ग |
जोतल	ज ो त ल |
भैंसा	भ ै ं स ा |
खींचै	ख ी ं च ै |
ऊंच	ऊ ं च |
बिकाइत	ब ि क ा इ त |
बोलचाल	ब ो ल च ा ल |
कोय	क ो य |
बनैलो	ब न ै ल ो |
उपजैलो	उ प ज ै ल ो |
होकरे	ह ो क र े |
कहलो	क ह ल ो |
शिक्षक	श ि क ् ष क |
पढ़ाबै	प ढ़ ा ब ै |
बहाल	ब ह ा ल |
कामर्स	क ा म र ् स |
सबस	स ब स |
कयलो	क य ल ो |
कमल	क म ल |
मंत्रमुग्ध	म ं त ् र म ु ग ् ध |
आयात	आ य ा त |
भारती	भ ा र त ी |
आंशिक	आ ं श ि क |
पूर्णतः	प ू र ् ण त ः |
विकलांग	व ि क ल ा ं ग |
नोटके	न ो ट क े |
भविष्य	भ व ि ष ् य |
वृति	व ृ त ि |
दिनोदिन	द ि न ो द ि न |
सीफूड	स ी फ ू ड |
पॉमफ्रेट	प ॉ म फ ् र े ट |
शार्क	श ा र ् क |
टूना	ट ू न ा |
मैकेरल	म ै क े र ल |
सूचनात्मक	स ू च न ा त ् म क |
बानरके	ब ा न र क े |
चिनियाबदाम	च ि न ि य ा ब द ा म |
पसिन	प स ि न |
विश्वविद्यालय	व ि श ् व व ि द ् य ा ल य |
खुलल	ख ु ल ल |
भेरा	भ े र ा |
दलान	द ल ा न |
सुन्नर	स ु न ् न र |
कारीगरी	क ा र ी ग र ी |
